application,tag1,tag2,tag3,keybinding,function,note,,
linux,terminal,,,Ctrl + z,Pause process & send to background,Type 'bg' to run,,
linux,terminal,,,Ctrl + Alt + C/V,Paste into terminal,,,
linux,terminal,,,echo $SHELL,Which shell,,,
linux,terminal,,,free -h,Show ram status,,,
linux,terminal,,,Ctrl + w,Delete word,,,
linux,terminal,,,lscpu,Shows cpu info,,,
linux,terminal,,,acpi -bi,Shows battery info,,,
linux,terminal,,,lsb_release -a,Distro version (Ubuntu),,,
linux,terminal,,,uname -sr,Kernel version,,,
linux,terminal,,,apt-get distro-upgrade,Update distro,,,
linux,terminal,,,nm-applet,Network manager gui for wifi,,,
linux,terminal,,,chmod +x $filename,Add execution to $filename,,,
firefox,curr page,,,F6,Move to the next frame,,,
firefox,curr page,,,Shift + F6,Move to the prev frame,,,
firefox,tabs,,,Ctrl + w,Close Tab - except for Pinned Tabs,,,
firefox,tabs,,,Ctrl + q,Quit,,,
firefox,tabs,,,Ctrl + h,Go one Tab to the Left,,,
firefox,tabs,,,Ctrl + l,Go one Tab to the Right,,,
firefox,tabs,,,Ctrl + m,Mute/Unmute Audio,,,
firefox,tabs,,,Ctrl + t,New Tab,,,
firefox,tabs,,,Ctrl + n,New Window,,,
firefox,tabs,,,Ctrl + Shift + p,New Private Window,,,
firefox,tabs,,,Ctrl + Shift + t,Undo Close Tab,,,
firefox,tabs,,,Ctrl + Shift + n,Undo Close Window,,,
firefox,tools,,,Ctrl + Shift + i,Toggle Developer Tools,,,
firefox,tools,,,Ctrl + Shift + k,Web Console,,,
firefox,tools,,,Ctrl + Shift + m,Responsive Design View,,,
firefox,misc,,,Shift + Del,Delete Selected Autocomplete Entry,,,
firefox,misc,,,Ctrl + Alt + R,Toggle Reader Mode,,,
firefox,misc,,,Alt + D,Focus Address Bar,,,
firefox,nav,,,Shift + h,Go Back,,,
firefox,nav,,,Shift + l,Go Forward,,,
firefox,nav,,,Shift + J,Previous Tab,,,
firefox,nav,,,Shift + K,Next Tab,,,
firefox,nav,,,Ctrl + Shift + t,Undo close tab,,,
firefox,vimium,,,r,Reload,,,
firefox,vimium,,,o,Focus url bar,,,
firefox,vimium,,,H,Back,,,
firefox,vimium,,,L,Forward,,,
firefox,vimium,,,t,New Tab,,,
firefox,vimium,,,x,Close Tab,,,
firefox,vimium,,,f,Follow / Focus Text / Click Button,,,
discord,,,,ctrl + alt + /,Navigate Between Servers,,,
discord,,,,ALT + /,Navigate Between Channels,,,
discord,,,,ALT + Shift + /,Navigate Between Unread Channels,,,
discord,,,,Escape,Mark Channel as Read,,,
discord,,,,Shift + Escape,Mark Server Read,,,
discord,,,,Shift + Page Up,Jump to Oldest Unread Message,,,
discord,,,,Tab,Focus Text Area,,,
thunderbird,base,,,Ctrl + f,Open menu,,,
thunderbird,base,,,Ctrl + w,Close tab,,,
thunderbird,email,,,ctrl + n,New email,,,
thunderbird,email,,,ctrl + r,Reply email,,,
windows,,,,Alt + t,Launchy,,,
windows,,,,Win + i,Windows Settings,,,
windows,,,,Alt + Space,Switcheroo,,,
windows,,,,(Browser)Alt + D,Highlight omnibar,,,
docker,,,,docker ps,List running containers,,,
docker,,,,docker images,list images,,,
docker,,,,docker container ls,list containers,,,
docker,,,,docker pull <image>,get image from dockerhub,,,